Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C19702
C2,0402,1,100n,C1525
C3,0402,1,2.2u,C12530
D1,0603,1,3V3_TARGET,C2286
"D2, D4",D_SOD-323,2,BAT60JFILM,C133103
D5,0603,1,3V3_GEN,C2286
J1,IDC-Header_2x10_P2.54mm_Vertical,1,JLink,C3405
J3,CONN-TH_6P-P1.27_HX-JN1.27-2X3P-ZZ-H4.9,1,TC2030,C42372545
J4,IDC-Header_2x05_P2.54mm_Vertical,1,WCHLink,C5665
J5,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,1,FPC,C66953
J6,CONN-TH_10P-P1.27_HX-JN1.27-2X5P-ZZ-H4.9,1,TC2050,C42372547
J7,Hirose_DF52-8S-0.8H_1x08-1MP_P0.80mm_Horizontal,1,DF52,C506726
"R1, R2",0402,2,220,C25091
"R3, R4",0402,2,10k,C25744
SW1,SW_Push_1P1T_XKB_TS-1187A,1,RESET,C318884
SW2,SW_Push_1P1T_XKB_TS-1187A,1,HIGH,C318884
SW3,SW_Push_1P1T_XKB_TS-1187A,1,LOW,C318884
U1,SOT-23-3,1,XC6206P332MR-G,C5446
